GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Compteur,fr.ufrsciencestech.compteur.view,VueGraphAWT.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
Compteur,fr.ufrsciencestech.compteur.view,VueConsole,4,30,0,0,2,8,1,3,1,3
Compteur,fr.ufrsciencestech.compteur.view,VueGraphAWT,8,90,0,0,4,24,2,7,2,7
Compteur,fr.ufrsciencestech.compteur.view,VueGraphSwing,8,87,0,0,4,24,2,7,2,7
Compteur,fr.ufrsciencestech.compteur.model,PanierVideException,4,0,0,0,2,0,1,0,1,0
Compteur,fr.ufrsciencestech.compteur.model,Kiwi,122,0,12,0,29,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,PanierPleinException,0,4,0,0,0,2,0,1,0,1
Compteur,fr.ufrsciencestech.compteur.model,Cerise,122,0,12,0,29,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,Jacque,124,0,12,0,31,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,Durian,100,0,12,0,26,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,Panier,62,168,9,21,18,40,13,18,6,10
Compteur,fr.ufrsciencestech.compteur.model,Banane,122,0,12,0,29,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,Orange,52,48,6,6,15,11,12,4,6,4
Compteur,fr.ufrsciencestech.compteur.model,Pomme,159,0,12,0,34,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur.model,Mangue,124,0,12,0,31,0,16,0,10,0
Compteur,fr.ufrsciencestech.compteur,TestUtils,3,34,0,8,1,7,1,5,1,1
Compteur,fr.ufrsciencestech.compteur,TestMVC,65,0,0,0,19,0,6,0,6,0
Compteur,fr.ufrsciencestech.compteur.controler,Controleur,8,32,0,2,2,10,0,5,0,4
